Price,Close,High,Low,Open,Volume
Ticker,BZ=F,BZ=F,BZ=F,BZ=F,BZ=F
Date,,,,,
2026-06-11,90.37999725341797,96.36000061035156,88.4000015258789,94.87999725341797,46406
2026-06-12,87.33000183105469,89.87000274658203,85.80000305175781,89.2300033569336,34732
2026-06-15,83.16999816894531,85.29000091552734,82.4000015258789,85.0199966430664,28907
2026-06-16,78.95999908447266,83.80000305175781,78.44999694824219,83.55000305175781,30801
2026-06-17,79.55000305175781,82.9800033569336,77.7699966430664,79.19999694824219,25919
2026-06-18,79.8499984741211,80.04000091552734,76.58000183105469,78.3499984741211,31186
2026-06-22,77.9000015258789,82.37999725341797,77.2699966430664,82.20999908447266,46574
2026-06-23,77.08000183105469,78.33999633789062,76.44000244140625,78.05999755859375,22797
2026-06-24,73.73999786376953,77.0,73.08000183105469,77.0,32834
2026-06-25,75.26000213623047,75.83999633789062,72.08000183105469,73.0999984741211,27477
2026-06-26,71.98999786376953,75.12000274658203,71.4000015258789,74.94000244140625,19425
2026-06-29,73.1500015258789,73.4800033569336,71.87000274658203,73.16999816894531,8613
2026-06-30,72.91999816894531,73.52999877929688,72.12000274658203,72.69999694824219,39706
2026-07-01,71.56999969482422,73.5199966430664,71.04000091552734,73.37999725341797,37629
2026-07-02,71.80000305175781,71.91000366210938,70.13999938964844,71.08999633789062,0
2026-07-06,71.98999786376953,72.58999633789062,71.02999877929688,71.87000274658203,46238
2026-07-07,74.16000366210938,76.3499984741211,72.05999755859375,72.11000061035156,58154
2026-07-08,78.0199966430664,80.56999969482422,75.44999694824219,75.98999786376953,96042
2026-07-09,76.30000305175781,79.37999725341797,75.5999984741211,79.37999725341797,47817
2026-07-10,76.01000213623047,77.55999755859375,75.30999755859375,75.97000122070312,47817
